(Number of Clickable Elements - Middle),Number of General  Elements,(Number of Clickable Elements - Bottom),(Number of Clickable Elements - Top),(Number of vertical swipeable Elements - Middle),is the activity contain a navigation drawer,(Number of Text Fields Elements - Middle),(Number of horizontal swipeable Elements - Middle),(Number of Text Fields Elements - Bottom),(Number of Text Fields Elements - Top),keywords
1,4,0,3,0,0,0,0,0,0,conversation 
0,8,0,7,1,0,0,0,0,0,conversation receive 
0,9,0,7,2,0,0,0,0,0,conversation receive 
1,8,1,5,0,1,0,1,0,0,conversation 
4,11,0,0,5,0,0,0,0,0,receive 
1,7,0,2,4,0,0,0,0,0,receive 
2,8,0,2,4,0,0,0,0,0,receive 
8,12,0,2,1,0,0,0,0,0,receive 
3,8,0,2,2,0,0,0,0,0,conversation receive 
0,4,3,0,0,0,0,0,0,0,chat conversation 
0,17,2,8,6,0,0,0,1,0,chat 
0,3,0,2,0,0,0,0,0,0,chat conversation contacts 
0,1,0,0,0,0,1,0,0,0,
6,16,1,3,4,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,chat 
0,5,2,1,2,0,0,0,0,0,conversation contacts 
3,4,0,1,0,0,0,0,0,0,chat conversation contacts 
7,10,0,2,0,0,0,0,1,0,chat conversation contacts 
3,4,0,1,0,0,0,0,0,0,chat conversation contacts 
0,5,0,2,3,0,0,0,0,0,chat conversation contacts 
7,10,0,2,0,0,0,0,1,0,chat conversation contacts 
1,4,0,3,0,0,0,0,0,0,chat contacts 
0,2,0,2,0,0,0,0,0,0,chat 
0,1,0,1,0,0,0,0,0,0,chat contacts 
6,11,0,2,3,1,0,0,0,0,chat conversation contacts groups 
0,7,5,1,0,0,0,0,0,0,contacts 
9,12,1,2,0,0,0,0,0,0,chat subject receive 
1,3,0,1,0,0,1,0,0,0,contacts receive 
0,9,0,3,5,0,1,0,0,0,chat contacts groups 
0,4,1,2,0,0,0,0,0,0,chat conversation contacts 
1,6,2,1,1,0,0,0,0,0,chat contacts 
0,3,0,3,0,0,0,0,0,0,subject contacts receive 
6,18,8,3,0,0,1,0,0,0,chat 
2,4,1,1,0,0,0,0,0,0,chat 
1,7,0,4,2,0,0,0,0,0,chat contacts 
2,4,0,1,0,0,1,0,0,0,
1,6,0,3,2,0,0,0,0,0,chat contacts 
12,19,0,4,0,0,0,0,0,0,
5,10,1,1,2,0,0,0,0,0,
3,6,0,2,0,0,0,1,0,0,
1,1,0,0,0,0,0,0,0,0,chat receive 
0,6,1,1,3,0,0,0,0,0,chat contacts receive 
0,1,1,0,0,0,0,0,0,0,chat contacts receive 
0,1,1,0,0,0,0,0,0,0,chat contacts receive 
5,15,7,1,0,0,1,0,0,0,chat 
8,19,0,5,0,0,4,1,0,1,chat conversation contacts 
7,19,1,5,0,0,4,1,0,1,chat conversation contacts 
6,18,1,5,0,0,4,1,0,1,chat conversation contacts 
2,7,3,2,0,0,0,0,0,0,subject groups receive 
0,4,1,3,0,1,0,0,0,0,chat 
0,5,1,1,1,0,0,0,0,0,groups 
2,4,0,1,0,1,0,0,0,0,
0,2,0,2,0,0,0,0,0,0,chat contacts 
0,10,3,2,4,0,0,0,0,0,contacts groups 
0,14,0,1,11,0,0,0,0,0,contacts groups 
7,20,2,7,3,0,0,0,0,0,contacts groups 
3,6,2,0,0,0,1,0,0,0,contacts groups 
4,24,2,9,9,0,0,0,0,0,contacts groups 
6,29,2,8,12,0,0,0,0,0,contacts groups 
4,16,2,7,2,0,0,0,0,0,contacts groups 
6,29,2,8,12,0,0,0,0,0,contacts groups 
0,7,2,5,0,0,0,0,0,0,contacts groups 
0,24,2,3,19,0,0,0,0,0,contacts groups 
4,17,2,8,2,0,0,0,0,0,contacts groups 
7,15,1,4,2,1,0,0,0,0,chat conversation contacts 
3,6,0,3,0,1,0,0,0,0,chat conversation contacts 
7,15,2,4,2,1,0,0,0,0,chat conversation contacts receive 
7,15,1,4,2,1,0,0,0,0,chat conversation contacts 
3,15,2,6,2,0,0,0,1,0,chat conversation contacts 
1,2,0,1,0,0,0,0,0,0,chat conversation contacts 
8,16,1,4,2,1,0,0,0,0,chat conversation contacts receive 
2,3,0,1,0,0,0,0,0,0,groups 
2,3,1,0,0,0,0,0,0,0,chat groups 
2,3,0,1,0,0,0,0,0,0,contacts groups 
1,4,2,1,0,0,0,0,0,0,conversation contacts groups receive 
4,8,0,2,0,0,2,0,0,0,
0,7,1,4,0,0,0,0,1,0,
0,6,0,6,0,0,0,0,0,0,
4,4,0,0,0,0,0,0,0,0,conversation 
0,8,3,0,2,0,0,0,1,0,
3,6,1,2,0,0,0,0,0,0,chat 
0,1,0,1,0,0,0,0,0,0,chat 
0,9,0,2,6,0,0,0,0,0,chat groups 
1,3,0,2,0,0,0,0,0,0,
3,7,2,2,0,0,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,
0,10,1,1,4,0,1,0,0,0,chat groups 
1,8,0,0,4,0,0,0,0,0,chat groups 
0,2,0,2,0,0,0,0,0,0,
1,5,1,2,0,0,0,0,0,0,
0,4,1,2,0,0,0,0,1,0,chat 
0,6,1,5,0,0,0,0,0,0,chat conversation 
1,11,0,8,2,1,0,0,0,0,contacts groups 
1,4,0,3,0,0,0,0,0,0,chat conversation 
1,4,0,3,0,0,0,0,0,0,chat conversation 
1,4,0,3,0,0,0,0,0,0,chat conversation 
1,10,2,1,5,0,0,0,0,0,
4,13,2,1,5,0,0,0,0,0,
4,8,0,4,0,1,0,0,0,0,chat conversation contacts 
1,2,0,1,0,1,0,0,0,0,conversation contacts 
2,16,4,7,1,1,0,0,1,1,chat conversation 
0,3,0,2,0,1,0,0,0,0,chat 
0,4,0,2,1,0,0,0,0,1,chat conversation contacts 
0,4,0,3,0,0,0,0,0,0,chat contacts 
0,4,0,3,0,0,0,0,0,0,chat contacts 
3,16,0,7,3,0,0,0,0,0,chat contacts 
6,14,0,6,1,0,0,0,0,0,subject conversation contacts 
5,12,2,3,1,1,1,0,0,0,chat receive 
5,9,1,2,0,0,0,0,0,1,
0,13,1,10,2,1,0,0,0,0,chat contacts groups 
0,5,2,2,0,0,0,0,1,0,chat contacts groups 
6,18,1,4,5,1,0,0,1,0,chat 
1,12,1,1,8,0,0,0,0,0,contacts receive 
0,3,0,3,0,0,0,0,0,0,chat contacts 
2,6,0,3,1,0,0,0,0,0,chat contacts 
0,5,3,2,0,0,0,0,0,0,chat conversation 
3,8,0,4,0,0,1,0,0,0,chat subject conversation 
10,13,0,2,0,1,1,0,0,0,chat 
2,3,0,0,0,0,1,0,0,0,chat 
3,6,1,2,0,0,0,0,0,0,chat 
3,6,1,2,0,0,0,0,0,0,chat 
0,14,0,10,3,0,0,0,0,0,conversation receive 
3,6,2,0,0,0,1,0,0,0,chat receive 
0,1,0,1,0,0,0,0,0,0,chat contacts receive 
10,19,0,3,4,0,0,0,1,0,conversation 
2,7,3,2,0,0,0,0,0,0,chat conversation 
10,20,1,3,4,0,0,0,1,0,conversation 
12,22,0,3,5,0,0,0,1,0,chat conversation 
2,3,0,0,0,0,0,1,0,0,
0,26,1,1,16,0,0,0,0,0,chat 
0,3,0,3,0,0,0,0,0,0,conversation receive 
0,6,0,0,5,0,0,0,0,0,contacts receive 
15,18,2,1,0,0,0,0,0,0,
9,17,1,3,3,0,0,0,0,0,groups attachments 
0,5,2,1,0,0,0,0,1,0,conversation 
0,6,0,6,0,1,0,0,0,0,chat 
0,4,1,2,0,1,0,0,0,0,conversation 
7,15,0,3,3,0,0,1,0,0,
0,1,0,1,0,0,0,0,0,0,chat 
0,5,2,1,0,0,0,0,1,0,chat conversation 
1,4,0,2,0,0,0,0,0,0,chat contacts 
0,5,1,3,0,0,0,0,1,0,
0,1,1,0,0,0,0,0,0,0,
0,5,1,3,0,0,0,0,1,0,chat 
0,8,3,5,0,0,0,0,0,0,chat 
0,8,3,5,0,0,0,0,0,0,chat 
0,7,0,0,5,0,0,0,0,0,chat 
0,10,3,5,2,0,0,0,0,0,chat 
0,3,0,3,0,1,0,0,0,0,chat contacts 
0,4,0,4,0,0,0,0,0,0,chat groups 
0,3,0,2,0,0,0,0,1,0,chat conversation groups attachments 
0,4,0,2,1,0,0,0,1,0,chat conversation groups attachments 
4,5,1,0,0,0,0,0,0,0,chat 
0,3,0,3,0,0,0,0,0,0,receive 
8,13,1,1,0,0,0,0,1,0,chat conversation groups attachments 
0,4,0,3,0,1,0,0,0,0,chat 
2,3,0,0,0,0,0,0,0,0,
0,6,2,3,0,0,0,0,0,1,
2,3,1,0,0,0,0,0,0,0,chat 
9,33,0,3,16,0,1,0,0,0,chat conversation groups 
0,0,0,0,0,0,0,0,0,0,chat conversation groups 
1,9,4,3,0,0,1,0,0,0,chat conversation groups 
1,7,1,3,1,0,0,0,1,0,chat 
1,2,0,0,0,0,0,0,0,0,chat 
1,5,1,1,1,0,0,0,0,1,chat contacts 
1,7,0,0,4,0,0,0,0,0,
0,1,1,0,0,0,0,0,0,0,
0,3,1,2,0,0,0,0,0,0,
5,12,1,0,4,0,0,0,0,0,
0,1,1,0,0,0,0,0,0,0,
2,4,0,2,0,0,0,0,0,0,chat 
0,6,5,0,0,0,0,0,0,0,conversation 
0,5,5,0,0,0,0,0,0,0,conversation 
0,5,1,0,3,0,0,0,0,1,
3,5,0,2,0,1,0,0,0,0,chat contacts groups 
0,5,0,5,0,1,0,0,0,0,groups 
2,6,2,2,0,0,0,0,0,0,chat 
0,4,1,1,1,0,0,0,1,0,
1,1,0,0,0,0,0,0,0,0,
0,13,1,0,9,0,0,0,0,0,home menu toolbar 
6,12,0,5,0,0,0,1,0,0,home main menu 
3,9,1,3,1,0,0,0,0,0,menu toolbar 
1,2,1,0,0,0,0,0,0,0,
1,3,0,2,0,0,0,0,0,0,menu toolbar 
1,3,0,1,0,0,0,1,0,0,
1,2,1,0,0,0,0,0,0,0,home menu toolbar 
1,2,1,0,0,0,0,0,0,0,menu toolbar 
2,2,0,0,0,0,0,0,0,0,menu toolbar 
2,30,3,3,21,1,0,0,0,0,home main menu homepage toolbar 
3,5,0,2,0,1,0,0,0,0,home main menu toolbar 
2,2,0,0,0,0,0,0,0,0,
3,4,0,1,0,0,0,0,0,0,menu toolbar 
2,3,0,0,0,0,0,1,0,0,main 
1,1,0,0,0,0,0,0,0,0,
4,8,1,3,0,0,0,0,0,0,
2,7,1,0,0,0,4,0,0,0,menu toolbar 
0,3,2,0,0,0,0,0,0,0,
2,2,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,
5,13,5,1,1,0,1,0,0,0,home dashboard main menu toolbar 
4,11,5,1,0,0,1,0,0,0,home dashboard main menu toolbar 
3,11,4,1,2,0,0,0,0,0,home main menu toolbar 
1,2,0,1,0,0,0,0,0,0,home main menu toolbar 
1,4,2,0,0,0,0,0,0,0,home main 
1,1,0,0,0,0,0,0,0,0,
8,16,0,4,4,1,0,0,0,0,home main menu toolbar 
1,1,0,0,0,0,0,0,0,0,home 
1,2,1,0,0,0,0,0,0,0,home 
0,3,1,1,0,1,0,1,0,0,main menu toolbar 
10,21,6,4,0,1,0,1,0,0,home main menu 
0,8,7,1,0,0,0,0,0,0,home menu 
3,3,0,0,0,0,0,0,0,0,main menu overview 
3,3,0,0,0,0,0,0,0,0,main menu 
0,2,0,2,0,1,0,0,0,0,home main menu toolbar 
0,1,1,0,0,0,0,0,0,0,dashboard overview 
8,14,0,5,1,1,0,0,0,0,main menu toolbar 
2,2,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,home menu 
0,4,0,4,0,0,0,0,0,0,home menu 
0,4,0,2,1,0,0,0,0,0,main menu toolbar 
1,4,0,1,0,0,2,0,0,0,home main menu toolbar 
1,3,0,2,0,1,0,0,0,0,home main menu toolbar 
0,7,0,4,3,1,0,0,0,0,main menu overview 
0,4,0,4,0,0,0,0,0,0,
0,7,4,1,2,0,0,0,0,0,home menu 
3,3,0,0,0,0,0,0,0,0,
0,2,1,0,0,0,0,1,0,0,overview 
2,7,0,0,0,0,0,0,0,0,main 
4,5,0,0,0,0,0,0,0,0,
5,12,0,4,3,0,0,0,0,0,home main menu homepage toolbar 
0,1,0,1,0,0,0,0,0,0,home main menu 
0,0,0,0,0,0,0,0,0,0,main 
0,2,1,0,0,0,0,0,0,0,
0,6,0,1,4,0,0,0,0,0,home dashboard menu 
6,11,0,2,0,0,2,0,0,1,home main menu toolbar 
1,6,0,3,1,0,0,1,0,0,home main menu toolbar 
2,3,1,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,
0,7,1,6,0,1,0,0,0,0,main menu toolbar 
0,7,4,1,2,0,0,0,0,0,home menu 
0,6,2,0,2,0,0,0,0,0,home main menu toolbar 
3,6,1,2,0,0,0,0,0,0,main menu toolbar 
0,0,0,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,
9,17,3,2,1,0,0,0,0,0,main menu 
9,11,0,2,0,0,0,0,0,0,home main menu toolbar 
0,2,1,0,0,0,0,0,0,0,
7,12,0,0,5,0,0,0,0,0,
0,2,1,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,main menu toolbar 
0,0,0,0,0,0,0,0,0,0,
3,3,0,0,0,0,0,0,0,0,
1,2,1,0,0,0,0,0,0,0,main menu 
5,12,0,4,2,0,0,0,0,0,home main menu toolbar 
3,6,0,3,0,1,0,0,0,0,main menu 
2,6,0,1,2,0,0,0,0,0,main menu toolbar 
0,5,0,5,0,0,0,0,0,0,main menu toolbar 
2,3,0,1,0,1,0,0,0,0,home main menu toolbar 
0,1,1,0,0,0,0,0,0,0,
0,1,0,1,0,0,0,0,0,0,main menu toolbar 
1,3,0,1,0,0,1,0,0,0,main menu toolbar 
1,1,0,0,0,0,0,0,0,0,
1,2,1,0,0,0,0,0,0,0,
0,1,1,0,0,0,0,0,0,0,main 
1,5,0,3,0,1,0,0,0,1,main menu toolbar 
0,6,6,0,0,0,0,0,0,0,home main menu 
1,5,1,3,0,0,0,0,0,0,menu toolbar 
3,6,0,1,1,1,0,0,0,0,dashboard main menu toolbar 
2,7,1,4,0,0,0,0,0,0,main 
3,5,0,2,0,0,0,0,0,0,
1,3,2,0,0,0,0,0,0,0,main 
2,2,0,0,0,0,0,0,0,0,
0,3,1,1,0,0,0,0,0,0,home 
1,2,1,0,0,0,0,0,0,0,
1,2,0,0,0,0,0,0,0,0,home 
1,7,1,4,0,1,0,0,0,0,home main menu toolbar 
3,6,1,1,0,0,1,0,0,0,
7,19,3,8,0,0,0,0,0,0,main menu toolbar 
0,1,0,1,0,1,0,0,0,0,home menu toolbar 
1,3,0,2,0,1,0,0,0,0,main menu toolbar 
6,6,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,home menu 
0,6,0,6,0,1,0,0,0,0,home main menu toolbar 
2,5,0,3,0,1,0,0,0,0,menu toolbar 
8,9,0,1,0,0,0,0,0,0,menu toolbar 
2,2,0,0,0,0,0,0,0,0,menu toolbar 
5,9,2,2,0,0,0,0,0,0,home dashboard main menu 
3,3,0,0,0,0,0,0,0,0,menu toolbar 
0,2,0,2,0,1,0,0,0,0,menu 
2,3,0,0,0,0,0,0,0,0,
2,3,0,0,0,0,0,1,0,0,
6,6,0,0,0,1,0,0,0,0,main sliders 
0,2,0,2,0,0,0,0,0,0,main menu 
0,1,1,0,0,0,0,0,0,0,main 
4,6,0,0,0,0,2,0,0,0,main 
1,4,0,3,0,1,0,0,0,0,home main menu homepage toolbar 
0,3,1,1,0,0,1,0,0,0,main 
5,5,0,0,0,0,0,0,0,0,
0,3,2,1,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,
1,2,1,0,0,0,0,0,0,0,home main menu 
4,6,0,2,0,1,0,0,0,0,home main menu toolbar 
1,1,0,0,0,0,0,0,0,0,menu toolbar 
7,11,0,4,0,0,0,0,0,0,home menu toolbar 
0,3,0,3,0,0,0,0,0,0,menu toolbar 
0,10,5,2,2,1,0,0,0,0,main menu toolbar 
2,5,0,2,0,0,0,1,0,0,home menu homepage 
10,10,0,0,0,0,0,0,0,0,home dashboard menu homepage 
0,2,1,0,0,0,0,0,0,0,main 
1,2,1,0,0,0,0,0,0,0,main 
1,3,1,1,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,
7,14,1,3,2,0,0,0,0,0,menu toolbar 
0,3,2,0,0,0,0,0,0,0,main 
1,4,3,0,0,0,0,0,0,0,main menu toolbar 
1,6,2,3,0,1,0,0,0,0,home main menu homepage toolbar 
0,0,0,0,0,0,0,0,0,0,
2,3,0,0,0,0,0,1,0,0,
0,5,0,5,0,1,0,0,0,0,home main menu homepage 
0,2,1,0,0,0,0,1,0,0,
0,7,4,1,2,0,0,0,0,0,home menu 
3,7,4,0,0,0,0,0,0,0,home main 
1,6,4,1,0,0,0,0,0,0,home main 
3,13,4,5,0,0,0,0,0,0,home menu 
1,1,0,0,0,0,0,0,0,0,
3,4,0,0,0,0,0,1,0,0,dashboard 
9,11,0,1,0,0,0,1,0,0,menu toolbar 
10,15,2,3,0,1,0,0,0,0,home menu toolbar 
2,2,0,0,0,0,0,0,0,0,
2,4,0,2,0,1,0,0,0,0,home dashboard menu toolbar 
10,13,1,2,0,1,0,0,0,0,home main menu toolbar 
0,1,0,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,
3,3,0,0,0,0,0,0,0,0,menu toolbar 
3,4,0,1,0,1,0,0,0,0,home menu toolbar 
3,19,0,3,8,0,0,5,0,0,home menu toolbar 
0,6,0,1,5,0,0,0,0,0,home menu 
2,2,0,0,0,0,0,0,0,0,main menu toolbar 
1,1,0,0,0,0,0,0,0,0,home menu 
0,7,5,2,0,0,0,0,0,0,home main menu 
0,1,0,0,0,0,0,0,0,0,
0,5,0,5,0,0,0,0,0,0,home main menu toolbar 
0,2,1,1,0,0,0,0,0,0,home main menu toolbar 
0,9,1,4,4,0,0,0,0,0,home main menu toolbar 
3,5,1,1,0,0,0,0,0,0,home main menu toolbar 
3,5,1,1,0,0,0,0,0,0,home main menu toolbar 
1,2,0,1,0,0,0,0,0,0,menu toolbar 
1,7,0,5,0,1,0,0,0,1,home main menu toolbar 
0,6,0,5,0,1,0,0,0,1,home main menu toolbar 
1,13,4,7,0,0,0,1,0,0,home main menu 
4,12,0,6,2,0,0,0,0,0,home menu toolbar 
0,7,0,0,5,0,0,0,0,0,home main menu toolbar 
0,2,2,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,home main homepage toolbar 
12,21,3,2,3,0,0,0,0,0,home main menu toolbar 
8,16,0,2,6,1,0,0,0,0,home main menu toolbar 
8,16,0,2,6,1,0,0,0,0,home main menu toolbar 
1,1,0,0,0,0,0,0,0,0,
1,2,1,0,0,0,0,0,0,0,home main menu 
2,6,0,4,0,1,0,0,0,0,home main menu overview toolbar 
1,1,0,0,0,0,0,0,0,0,
2,2,0,0,0,0,0,0,0,0,
2,2,0,0,0,0,0,0,0,0,menu toolbar 
2,2,0,0,0,0,0,0,0,0,
0,1,0,1,0,1,0,0,0,0,home main menu toolbar 
2,5,2,1,0,0,0,0,0,0,home menu toolbar 
2,5,2,1,0,0,0,0,0,0,home menu toolbar 
3,4,0,1,0,0,0,0,0,0,menu toolbar 
0,1,0,1,0,0,0,0,0,0,home menu 
0,3,2,0,0,0,0,0,0,0,
2,2,0,0,0,0,0,0,0,0,
3,4,0,0,0,0,0,0,0,0,dashboard menu 
